,sentence,classification
0,3855290507 2246728737 3537119515 2245273601 2635303940 2246728737 3537119515 847961216 1369588494 2245384272 781912670 2245273601 1674219510 864662311 1542633699 2245384272 4003049590 864674487 2115476908 3217380708 1135286194 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2360741695 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3983062349,1
1,2246699815 4194366826 864942730 1510328189 864674487 2810421479 2245277810 135980867 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2245384272 1167322652 2245384272 1510461303 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 951226070 848128881 4118787735 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2245384272 603510687 2245384272 2909042096 1016841875 198706261,1
2,3217380708 3796970912 3217380708 369315086 3217380708 3798139026 2092489639 963029399 2968968094 2803848648 2968968094 2803848648 2092489639 2021812431 2246728737 3657471097 2968968094 2803848648 2968968094 2803848648 3217380708 1857396528 882399112 3337745083 3218693969 994485099 3217380708 3983062349 3217380708 3631761933 3217380708 2309124039 2246699815 2784506312 864662311 1533864325 864942730 1510328189 3218693969 572760528 2092489639 934550081 2976033787 2185212638 2246728737 1858577693 2968968094 1785683843 3189457552 1078211001 864942730 10565946,1
3,2968968094 2142032900 2968968094 2142032900 2968968094 2803848648 2092489639 1634606847 2968968094 2803848648 2968968094 2142032900 2245384272 2089117413 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3162837314 3218693969 994485099 864674487 2115476908 2245384272 4008337421 2245384272 1510461303 2245384272 787069595 847961216 717512901 2246699815 411967733 864942730 1510328189 2246728737 3545365497,1
4,2246728737 422715066 3217380708 3662562115 3189457552 3376021752 2041434490 3460898310 3217380708 36538691 3217380708 3982076256 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 2424973678 1016841875 3452535345 3217380708 2308348490 2246699815 1054767590 864942730 1510328189 847961216 1693331843 2976033787 2285529321 2976033787 2761319679 3351556771 3725356643 2976816164 3871159421 2246728737 1861965050 2246728737 1861965050 2976033787 2202598049 2092489639 3968746622 3217380708 3925172229 864942730 10565946 2246699815 909362583 864662311 1533864325 864942730 1510328189,1
5,2246728737 3542456614 2245384272 2251845666 2092489639 1923187777 2968968094 2803848648 2968968094 2803848648 2092489639 203851115 2246699815 2574917850 864942730 1510328189 847961216 1362518133 2245273601 1351825692 2246699815 4222851645 864942730 1510328189 847961216 1693331843 2976033787 2285529321 2976033787 2761319679 3351556771 1073159142 2968968094 4008506203 3217380708 2739805032 3217380708 4194974166 2092489639 932734850 3217380708 3925172229 864942730 10565946 2246699815 2784506312 864662311 1533864325 864942730 1510328189 2245384272 864365306 1026928756 1271691605 3217380708 2269473515 2041434490 3458774156 2041434490 136366266 2041434490 222023415 2092489639 1256946769 2246728737 3657471097 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 951226070 3218693969 951226070 3217380708 1871221615 864942730 10565946 3217380708 1871221615 864942730 10565946,1
6,2246728737 3818546315 848128881 1145656637 2246728737 3818546315 2976033787 3693875873 2976033787 1397494279 2968968094 517457164 2976033787 1636327326 3217380708 3337860654 3217380708 3025587565 864662311 26234434 3217380708 3980805843 3217380708 3026394695 864662311 26234434 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 2238101436 2976816164 4060296991 2246728737 1861965050 864662311 265892994 3217380708 153234704 864942730 10565946 2976816164 3785494110 864662311 265892994 3217380708 153234704 864942730 10565946 3217380708 871878897 2246699815 3959435364 864662311 1533864325 847961216 717512901 2245384272 701415712 2092489639 1634606847 2968968094 2803848648 2968968094 2142032900 2968968094 2142032900 2968968094 2803848648 3217380708 1250165012 864942730 10565946,1
7,2246728737 3657471097 2092489639 2975126068 3217380708 30707086 2968968094 1276993226 2968968094 2117068077 2976033787 1786160715 2245384272 1924383628 2092489639 3345225135 3218693969 571978829 3218693969 3776905034 2041434490 1100037548 3217380708 829754261 2246728737 422715066 3217380708 1250165012 864942730 10565946 3217380708 3980805843 3217380708 3983062349 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3820826669,1
8,2246728737 3975275337 864674487 2076190208 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 970433791 3218693969 951226070 3218693969 951226070 2976033787 737872620 3351556771 3895633315 3217380708 480680885 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 3796841743 2092489639 3346582092 2245384272 2257970297 2245384272 603510687 848128881 3121777292 2246728737 3818546315 2246728737 3818546315 3217380708 3925172229 864942730 10565946 2976033787 1251717127 864674487 1979311206 2246699815 2664995851 2246728737 3545365497 864942730 1510328189,1
9,847957139 2591432844 2246699815 2448572767 847957139 2591432844 847336149 3756615259 2246699815 2606734789 864942730 1510328189 3217380708 3811375594 2041434490 1101907775 3217380708 1191280979 1016841875 3452535345 3217380708 1445852595 847957139 1083852209 2041434490 1101907775 3217380708 1445852595 847957139 1083852209,1
