,sentence,classification,set
0,2246699815 4194366826 864942730 1510328189 864674487 2810421479 2245277810 135980867 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2245384272 1167322652 2245384272 1510461303 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 951226070 848128881 4118787735 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2245384272 603510687 2245384272 2909042096 1016841875 198706261,1.0,train
1,2246728737 3537119515 2245273601 4274827831 847957139 2599973650 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
2,2246728737 3835273908 999334238 3266129148 864942730 2228063684 864942730 2228063684 3217380708 2223687999 3218693969 951226070 3218693969 951226070 3217380708 3579962709 3218693969 951226070 3218693969 951226070 2245273601 3110205660 864662311 1542633699 2245273601 4073938295 2245384272 4022716898 864662311 1535166686 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 2406779329 1016841875 170898322 1016841875 170898322,1.0,train
3,2246728737 3537119515 2245273601 4274827831 847957139 2599973650 2245384272 4003049590 864674487 2115476908 3217380708 1136130381 3217380708 3124581743 2246728737 422715066 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3124581743 2246728737 422715066,1.0,train
4,3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2245384272 618671879 2246728737 3542456614,1.0,train
5,3217380708 1135286194 3217380708 2309124039 3218693969 994485099 3217380708 3918336191 847961216 1790668568 2246699815 3315826729 2245384272 1167322652 2245384272 1173125914 2246728737 3542456614 864942730 1510328189 3218693969 951226070 3218693969 951226070 2246699815 1822332700 2246728737 3545365497 864942730 1510328189 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 2245384272 781912670 847961216 1369588494 2245273601 2635303940 2246728737 3537119515 2246728737 3537119515 864662311 1542633699,1.0,train
6,2246728737 3542456614 2245384272 592593828 848128881 3012778962 2245384272 592593828 2246728737 3542456614 2246699815 2664622273 864942730 1510328189 847961216 1790668568 3217380708 3918336191 3218693969 951226070 3218693969 951226070 3217380708 1135286194 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 864662311 1542633699 2245384272 781912670 847961216 1369337945 2245277810 144568923 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 3217380708 2309124039 3218693969 994485099 2246699815 1822332700 2246728737 3545365497 864942730 1510328189,1.0,train
7,2246728737 3545365497 2246699815 411967733 864942730 1510328189 847961216 1790668568 3217380708 3918336191 3218693969 951226070 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 951226070 3218693969 951226070,1.0,train
8,2246728737 3545365497 2246699815 2664995851 864942730 1510328189 864674487 2077658817 3217380708 1135286194 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 2309124039 2246699815 2784506312 864662311 1533864325 864942730 1510328189,0.0,train
9,2246728737 3537123720 2245277810 2196511550 2245384272 73745272 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099 847961216 3325090133 847957139 3419487909 2246699815 3850856377 864662311 1533864325 864942730 1510328189,0.0,train
10,864662311 1533864325 2246699815 4278941385 864942730 1510328189 2245384272 1167322652 2245384272 1510461303 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 951226070 848128881 4118787735 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2245384272 603510687 2245384272 2909042096 1016841875 198706261,0.0,train
11,847957139 3419487909 847961216 3324425771 2245384272 787069595 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 864662311 2184651344 999334238 1240052594 864662311 2184651344 864942730 2228063684 864942730 2228063684,1.0,train
12,847957139 2591432844 2246699815 1349051879 864942730 1510328189 864674487 2222715027 2245384272 4008337421 2245384272 1510461303 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0,train
13,847957139 2592785365 2245384272 782176117 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099,0.0,train
14,864662311 1535166686 2245384272 4022716898 2245273601 4073938295 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 2406779329 1016841875 170898322 1016841875 170898322 2245273601 3110205660 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 1428903162 3218693969 951226070 3218693969 951226070 848127915 271903915 864942795 2378775366 864942730 2378779377,0.0,train
15,2246728737 3542456614 2245384272 1173125914 2245384272 787069595 847961216 717512901 2246699815 2447826885 864942730 1510328189 847961216 2200148275 999334238 288315894 864942730 2228063684 864942730 2228063684 3217380708 2223687999 3218693969 951226070 3218693969 951226070 3217380708 2246340824 1016841875 3452535345 3218693969 951226070 3218693969 951226070,0.0,train
16,2246728737 3542456614 2245384272 3994088662 864674487 2222715027 2246699815 4038637638 864942730 1510328189 2245277810 2442433719 2246728737 3537123720 2246728737 3537123720 864674487 434045476 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 2246340824 1016841875 3452535345 3218693969 951226070 3218693969 951226070,0.0,train
17,2246728737 3537123720 2245277810 2442433719 2246728737 3537123720 864674487 434045476 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 2246340824 1016841875 3452535345 3218693969 951226070 3218693969 951226070 2246699815 3850856377 864662311 1533864325 864942730 1510328189,0.0,train
18,2246728737 3542456614 2245384272 592593828 848128881 3010410747 2245384272 592593828 2246728737 3542456614 2245384272 603510687 2245384272 4008337421 864674487 2222715027 2246699815 2827868305 864942730 1510328189 3217380708 2994748777 3218693969 951226070 3218693969 951226070 3217380708 3975295864 847957139 1083852209 3218693969 951226070 3218693969 951226070,1.0,train
19,2246728737 3537119515 2245273601 548743766 2246728737 3537119515 3217380708 3491109101 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3491109101 2245273601 548743766 2246728737 3537119515 2246728737 3537119515 3217380708 3025629386 864662311 26234434,1.0,train
20,847957139 2592785365 2245384272 787341104 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099,0.0,train
21,2246728737 3824063894 847961216 1362425715 2245273601 4066943324 2246728737 3537119515 2245273601 3110205660 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,0.0,train
22,2246728737 3824063894 847961216 717723595 2245384272 781912670 2245273601 2782530898 864662311 1542633699 3217380708 3579962709 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099,0.0,train
23,2246728737 3542456614 2245384272 2064788354 2246699815 2412640663 2246997334 3696389118 2246699815 1776022856 864942730 1510328189 3217380708 2309124039 3218693969 951226070 3218693969 951226070 3217380708 1135286194 864674487 2115476908 2245384272 3995043796 2246699815 4278941385 864662311 1533864325 864942730 1510328189 3217380708 2425865203 1016841875 3452535345 3217380708 2425865203 1016841875 3452535345,0.0,train
