,sentence,classification
0,2246699815 4194366826 864942730 1510328189 864674487 2810421479 2245277810 135980867 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 2245384272 1167322652 2245384272 1510461303 2245384272 3624155 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 1449131080 3218693969 951226070 3218693969 951226070 848128881 4118787735 2245384272 603510687 2245384272 2909042096 1016841875 198706261 2245384272 603510687 2245384272 2909042096 1016841875 198706261,1.0
1,2246728737 3537119515 2245273601 4274827831 847957139 2599973650 2245384272 74537039 3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070,1.0
2,2246728737 3835273908 999334238 3266129148 864942730 2228063684 864942730 2228063684 3217380708 2223687999 3218693969 951226070 3218693969 951226070 3217380708 3579962709 3218693969 951226070 3218693969 951226070 2245273601 3110205660 864662311 1542633699 2245273601 4073938295 2245384272 4022716898 864662311 1535166686 847961216 1362518133 2246699815 4222851645 864942730 1510328189 2245273601 2406779329 1016841875 170898322 1016841875 170898322,1.0
3,2246728737 3537119515 2245273601 4274827831 847957139 2599973650 2245384272 4003049590 864674487 2115476908 3217380708 1136130381 3217380708 3124581743 2246728737 422715066 3218693969 951226070 3218693969 98513984 3218693969 951226070 3217380708 3124581743 2246728737 422715066,1.0
4,3217380708 4121755354 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 98513984 3218693969 951226070 2245384272 618671879 2246728737 3542456614,1.0
5,3217380708 1135286194 3217380708 2309124039 3218693969 994485099 3217380708 3918336191 847961216 1790668568 2246699815 3315826729 2245384272 1167322652 2245384272 1173125914 2246728737 3542456614 864942730 1510328189 3218693969 951226070 3218693969 951226070 2246699815 1822332700 2246728737 3545365497 864942730 1510328189 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 2245384272 781912670 847961216 1369588494 2245273601 2635303940 2246728737 3537119515 2246728737 3537119515 864662311 1542633699,1.0
6,2246728737 3542456614 2245384272 592593828 848128881 3012778962 2245384272 592593828 2246728737 3542456614 2246699815 2664622273 864942730 1510328189 847961216 1790668568 3217380708 3918336191 3218693969 951226070 3218693969 951226070 3217380708 1135286194 864674487 2115476908 2245384272 4003049590 2245273601 1674219510 864662311 1542633699 2245384272 781912670 847961216 1369337945 2245277810 144568923 2246728737 3537123720 2246728737 3537123720 2246728737 3537123720 3217380708 2309124039 3218693969 994485099 2246699815 1822332700 2246728737 3545365497 864942730 1510328189,1.0
7,2246728737 3545365497 2246699815 411967733 864942730 1510328189 847961216 1790668568 3217380708 3918336191 3218693969 951226070 3218693969 951226070 3217380708 2905660137 864662311 26234434 3218693969 951226070 3218693969 951226070,1.0
8,2246728737 3545365497 2246699815 2664995851 864942730 1510328189 864674487 2077658817 3217380708 1135286194 3218693969 951226070 3218693969 98513984 3218693969 98513984 3218693969 951226070 3217380708 2309124039 2246699815 2784506312 864662311 1533864325 864942730 1510328189,0.0
9,2246728737 3537123720 2245277810 2196511550 2245384272 73745272 3217380708 4121755354 3218693969 951226070 3218693969 951226070 3217380708 3026394695 864662311 26234434 3217380708 3026394695 864662311 26234434 3218693969 994485099 847961216 3325090133 847957139 3419487909 2246699815 3850856377 864662311 1533864325 864942730 1510328189,0.0
