,sentence,classification,set
0,882399112 3337745083 3217380708 1857396528 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 994485099 3217380708 1913726790 2245900962 1899422126 2245900962 3633569943 2245384272 1173346717 2245384272 1510461303 2245384272 2687568853 882399112 484537559 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
1,882399112 484537559 2245384272 2711165291 2245900962 3633569943 2245900962 1899422126 3217380708 1999904870 3218693969 994485099 3217380708 2154975788 3218693969 951226070 3218693969 98513984 3218693969 951226070 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
2,882399112 484537559 2245384272 2687568853 2245384272 1173346717 2245900962 3633569943 2245900962 1899422126 3217380708 1999904870 3218693969 994485099 3217380708 2154975788 3218693969 951226070 3218693969 98513984 3218693969 951226070 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
3,882399112 485458970 2245273601 2845936339 882399112 485458970 864674487 431202968 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 951226070 3218693969 951226070 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 994485099 3217380708 1999904870 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245900962 1899422126 2245900962 3633569943 2245384272 1173346717 2245384272 4023654873 864662311 1535166686,1.0,train
4,882399112 485458970 2245273601 2845936339 882399112 485458970 864674487 431202968 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 951226070 3218693969 951226070 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 994485099 3217380708 1999904870 3218693969 951226070 3218693969 98513984 3218693969 951226070 2245900962 1899422126 2245900962 3633569943 2245384272 1173346717 2245384272 1510461303 2245384272 1510461303 2245384272 4023654873 864662311 1535166686,1.0,train
5,882399112 3337745083 3217380708 1857396528 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 994485099 3217380708 1135286194 864674487 2115476908 2245384272 4008337421 2245384272 1510461303 2245384272 2687568853 882399112 484537559 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
6,882399112 485458970 2245273601 2641323993 882399112 485458970 2245384272 1583799011 2245384272 4008337421 864674487 2115476908 3217380708 3162837314 3218693969 994485099 3217380708 2154975788 3218693969 951226070 3218693969 98513984 3218693969 951226070 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
7,882399112 3337745083 3217380708 1857396528 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 994485099 3217380708 1913726790 2245900962 1899422126 2245900962 3633569943 2245384272 3994179159 864674487 2222621677 2246728737 3975275337 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 951226070 3218693969 951226070 3217380708 3162837314 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
8,882399112 3337745083 3217380708 1857396528 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 994485099 3217380708 1913726790 2245900962 1899422126 2245900962 3633569943 2245384272 3994179159 864674487 2222621677 2246728737 3975275337 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 994485099 3217380708 3124581743 2246728737 422715066 3217380708 1135286194 864674487 431202968 2245273601 2845936339 882399112 485458970 882399112 485458970 3218693969 951226070 3218693969 951226070,1.0,train
9,882399112 485458970 2245273601 2845936339 882399112 485458970 864674487 431202968 3217380708 3162837314 3218693969 951226070 3218693969 951226070 3217380708 2154975788 3218693969 951226070 3218693969 951226070 2976816164 1243995854 2041434490 631553871 3217380708 1059124080 847957139 1083852209 2092489639 2975116251 2246728737 3657471097 3217380708 3974650111 864942730 10565946 3217380708 2154975788 3218693969 994485099 3217380708 3011598321 3218693969 951226070 3218693969 98513984 3218693969 951226070 2246703798 980020035 2246703798 530246988 2245384272 3995047843 864674487 2222621677 2246728737 3975275337,1.0,train
