,classification,mol_sentence
0,1,MolSentence with 39 words
1,1,MolSentence with 46 words
2,1,MolSentence with 52 words
3,1,MolSentence with 42 words
4,1,MolSentence with 58 words
5,1,MolSentence with 88 words
6,1,MolSentence with 76 words
7,1,MolSentence with 44 words
8,1,MolSentence with 58 words
9,1,MolSentence with 30 words
10,0,MolSentence with 54 words
11,1,MolSentence with 34 words
12,1,MolSentence with 6 words
13,1,MolSentence with 98 words
14,1,MolSentence with 46 words
15,1,MolSentence with 60 words
16,1,MolSentence with 68 words
17,1,MolSentence with 42 words
18,1,MolSentence with 66 words
19,1,MolSentence with 32 words
20,1,MolSentence with 12 words
21,1,MolSentence with 20 words
22,0,MolSentence with 64 words
23,1,MolSentence with 44 words
24,1,MolSentence with 54 words
25,0,MolSentence with 38 words
26,1,MolSentence with 46 words
27,1,MolSentence with 46 words
28,1,MolSentence with 34 words
29,1,MolSentence with 73 words
30,1,MolSentence with 32 words
31,1,MolSentence with 52 words
32,1,MolSentence with 52 words
33,1,MolSentence with 44 words
34,1,MolSentence with 50 words
35,1,MolSentence with 36 words
36,0,MolSentence with 30 words
37,1,MolSentence with 50 words
38,1,MolSentence with 36 words
39,0,MolSentence with 38 words
40,1,MolSentence with 46 words
41,1,MolSentence with 42 words
42,1,MolSentence with 30 words
43,1,MolSentence with 26 words
44,1,MolSentence with 50 words
45,1,MolSentence with 40 words
46,1,MolSentence with 48 words
47,1,MolSentence with 62 words
48,1,MolSentence with 22 words
49,1,MolSentence with 52 words
50,1,MolSentence with 48 words
51,1,MolSentence with 16 words
52,1,MolSentence with 32 words
53,1,MolSentence with 118 words
54,1,MolSentence with 48 words
55,1,MolSentence with 38 words
56,1,MolSentence with 58 words
57,0,MolSentence with 44 words
58,1,MolSentence with 20 words
60,1,MolSentence with 42 words
62,1,MolSentence with 120 words
63,1,MolSentence with 58 words
64,1,MolSentence with 66 words
65,1,MolSentence with 50 words
66,1,MolSentence with 42 words
67,1,MolSentence with 46 words
68,0,MolSentence with 52 words
69,1,MolSentence with 61 words
70,1,MolSentence with 38 words
71,1,MolSentence with 12 words
72,1,MolSentence with 20 words
73,1,MolSentence with 40 words
74,1,MolSentence with 40 words
75,0,MolSentence with 44 words
76,1,MolSentence with 58 words
77,1,MolSentence with 54 words
78,1,MolSentence with 44 words
79,1,MolSentence with 38 words
80,1,MolSentence with 36 words
81,0,MolSentence with 24 words
82,1,MolSentence with 28 words
83,1,MolSentence with 38 words
84,1,MolSentence with 38 words
85,1,MolSentence with 42 words
86,1,MolSentence with 72 words
87,1,MolSentence with 48 words
88,1,MolSentence with 42 words
89,1,MolSentence with 40 words
90,1,MolSentence with 58 words
91,1,MolSentence with 36 words
