,classification,mol_sentence
0,1.0,MolSentence with 46 words
1,1.0,MolSentence with 20 words
2,1.0,MolSentence with 42 words
3,1.0,MolSentence with 26 words
4,1.0,MolSentence with 16 words
5,1.0,MolSentence with 48 words
6,1.0,MolSentence with 54 words
7,1.0,MolSentence with 22 words
8,0.0,MolSentence with 26 words
9,0.0,MolSentence with 32 words
10,0.0,MolSentence with 38 words
11,1.0,MolSentence with 30 words
12,1.0,MolSentence with 26 words
13,0.0,MolSentence with 24 words
14,0.0,MolSentence with 40 words
15,0.0,MolSentence with 34 words
16,0.0,MolSentence with 32 words
17,0.0,MolSentence with 28 words
18,1.0,MolSentence with 34 words
19,1.0,MolSentence with 26 words
20,0.0,MolSentence with 22 words
21,0.0,MolSentence with 24 words
22,0.0,MolSentence with 26 words
23,0.0,MolSentence with 38 words
24,0.0,MolSentence with 28 words
25,0.0,MolSentence with 30 words
26,0.0,MolSentence with 24 words
27,0.0,MolSentence with 30 words
28,0.0,MolSentence with 28 words
29,1.0,MolSentence with 38 words
30,0.0,MolSentence with 38 words
31,0.0,MolSentence with 30 words
32,0.0,MolSentence with 41 words
33,1.0,MolSentence with 36 words
34,0.0,MolSentence with 22 words
35,0.0,MolSentence with 26 words
36,0.0,MolSentence with 38 words
37,0.0,MolSentence with 20 words
38,0.0,MolSentence with 38 words
39,1.0,MolSentence with 12 words
40,0.0,MolSentence with 36 words
41,1.0,MolSentence with 20 words
42,1.0,MolSentence with 16 words
43,1.0,MolSentence with 24 words
44,1.0,MolSentence with 32 words
45,1.0,MolSentence with 28 words
46,1.0,MolSentence with 28 words
47,1.0,MolSentence with 14 words
48,1.0,MolSentence with 16 words
49,1.0,MolSentence with 28 words
50,1.0,MolSentence with 16 words
51,1.0,MolSentence with 16 words
52,1.0,MolSentence with 46 words
53,0.0,MolSentence with 34 words
54,1.0,MolSentence with 30 words
55,1.0,MolSentence with 34 words
56,1.0,MolSentence with 34 words
57,1.0,MolSentence with 48 words
58,1.0,MolSentence with 30 words
59,1.0,MolSentence with 22 words
60,1.0,MolSentence with 34 words
61,0.0,MolSentence with 22 words
62,0.0,MolSentence with 26 words
63,0.0,MolSentence with 36 words
64,0.0,MolSentence with 38 words
65,0.0,MolSentence with 50 words
66,0.0,MolSentence with 26 words
67,0.0,MolSentence with 22 words
68,0.0,MolSentence with 26 words
69,0.0,MolSentence with 28 words
70,0.0,MolSentence with 36 words
71,1.0,MolSentence with 34 words
72,1.0,MolSentence with 26 words
73,1.0,MolSentence with 26 words
74,1.0,MolSentence with 16 words
75,1.0,MolSentence with 24 words
76,1.0,MolSentence with 30 words
77,1.0,MolSentence with 38 words
78,1.0,MolSentence with 26 words
79,1.0,MolSentence with 26 words
80,1.0,MolSentence with 22 words
81,1.0,MolSentence with 40 words
82,1.0,MolSentence with 34 words
83,1.0,MolSentence with 48 words
84,1.0,MolSentence with 40 words
85,1.0,MolSentence with 24 words
86,1.0,MolSentence with 42 words
87,1.0,MolSentence with 34 words
88,1.0,MolSentence with 30 words
89,1.0,MolSentence with 30 words
90,1.0,MolSentence with 42 words
91,1.0,MolSentence with 42 words
92,1.0,MolSentence with 24 words
93,1.0,MolSentence with 60 words
94,1.0,MolSentence with 32 words
95,1.0,MolSentence with 20 words
96,1.0,MolSentence with 42 words
97,1.0,MolSentence with 22 words
98,1.0,MolSentence with 28 words
99,1.0,MolSentence with 24 words
100,1.0,MolSentence with 26 words
101,1.0,MolSentence with 30 words
102,1.0,MolSentence with 24 words
103,1.0,MolSentence with 32 words
104,1.0,MolSentence with 38 words
105,1.0,MolSentence with 26 words
106,1.0,MolSentence with 36 words
107,1.0,MolSentence with 20 words
108,1.0,MolSentence with 28 words
109,1.0,MolSentence with 44 words
110,1.0,MolSentence with 50 words
111,1.0,MolSentence with 46 words
112,1.0,MolSentence with 42 words
113,1.0,MolSentence with 24 words
114,1.0,MolSentence with 48 words
115,1.0,MolSentence with 30 words
116,1.0,MolSentence with 40 words
117,1.0,MolSentence with 30 words
118,1.0,MolSentence with 34 words
119,1.0,MolSentence with 32 words
120,1.0,MolSentence with 28 words
121,1.0,MolSentence with 34 words
122,1.0,MolSentence with 38 words
123,1.0,MolSentence with 38 words
124,1.0,MolSentence with 28 words
125,1.0,MolSentence with 28 words
126,1.0,MolSentence with 28 words
127,1.0,MolSentence with 26 words
128,1.0,MolSentence with 28 words
129,1.0,MolSentence with 22 words
130,1.0,MolSentence with 24 words
131,1.0,MolSentence with 28 words
132,1.0,MolSentence with 21 words
133,1.0,MolSentence with 22 words
134,1.0,MolSentence with 44 words
135,1.0,MolSentence with 28 words
136,1.0,MolSentence with 42 words
137,1.0,MolSentence with 6 words
138,1.0,MolSentence with 12 words
139,1.0,MolSentence with 12 words
140,1.0,MolSentence with 17 words
141,0.0,MolSentence with 16 words
142,1.0,MolSentence with 8 words
143,0.0,MolSentence with 26 words
144,0.0,MolSentence with 23 words
145,1.0,MolSentence with 28 words
146,1.0,MolSentence with 38 words
147,1.0,MolSentence with 20 words
148,1.0,MolSentence with 10 words
149,1.0,MolSentence with 24 words
150,0.0,MolSentence with 24 words
151,1.0,MolSentence with 24 words
152,0.0,MolSentence with 15 words
153,1.0,MolSentence with 10 words
154,1.0,MolSentence with 12 words
155,1.0,MolSentence with 10 words
156,1.0,MolSentence with 12 words
157,1.0,MolSentence with 14 words
158,1.0,MolSentence with 12 words
159,1.0,MolSentence with 10 words
160,1.0,MolSentence with 6 words
161,1.0,MolSentence with 10 words
162,1.0,MolSentence with 10 words
163,1.0,MolSentence with 20 words
164,1.0,MolSentence with 6 words
165,1.0,MolSentence with 16 words
166,1.0,MolSentence with 14 words
167,1.0,MolSentence with 14 words
168,1.0,MolSentence with 12 words
169,1.0,MolSentence with 20 words
170,1.0,MolSentence with 16 words
171,1.0,MolSentence with 26 words
172,1.0,MolSentence with 10 words
173,1.0,MolSentence with 8 words
174,1.0,MolSentence with 8 words
175,1.0,MolSentence with 14 words
176,1.0,MolSentence with 14 words
177,1.0,MolSentence with 14 words
178,1.0,MolSentence with 12 words
179,1.0,MolSentence with 10 words
180,1.0,MolSentence with 8 words
181,1.0,MolSentence with 8 words
182,1.0,MolSentence with 22 words
183,1.0,MolSentence with 20 words
184,1.0,MolSentence with 18 words
185,1.0,MolSentence with 30 words
186,0.0,MolSentence with 24 words
187,1.0,MolSentence with 14 words
188,1.0,MolSentence with 32 words
189,0.0,MolSentence with 28 words
190,1.0,MolSentence with 16 words
191,1.0,MolSentence with 30 words
192,1.0,MolSentence with 26 words
193,1.0,MolSentence with 12 words
194,1.0,MolSentence with 30 words
195,1.0,MolSentence with 22 words
196,1.0,MolSentence with 8 words
197,1.0,MolSentence with 30 words
198,1.0,MolSentence with 28 words
199,1.0,MolSentence with 8 words
200,1.0,MolSentence with 28 words
201,1.0,MolSentence with 32 words
202,1.0,MolSentence with 6 words
203,1.0,MolSentence with 3 words
204,1.0,MolSentence with 32 words
205,1.0,MolSentence with 20 words
206,1.0,MolSentence with 32 words
207,1.0,MolSentence with 22 words
208,1.0,MolSentence with 20 words
209,1.0,MolSentence with 38 words
210,1.0,MolSentence with 12 words
211,1.0,MolSentence with 20 words
212,1.0,MolSentence with 28 words
213,1.0,MolSentence with 66 words
214,1.0,MolSentence with 26 words
215,1.0,MolSentence with 22 words
216,1.0,MolSentence with 6 words
217,1.0,MolSentence with 26 words
218,1.0,MolSentence with 12 words
219,1.0,MolSentence with 20 words
220,1.0,MolSentence with 12 words
221,1.0,MolSentence with 26 words
222,1.0,MolSentence with 36 words
223,1.0,MolSentence with 18 words
