,classification,mol_sentence
0,1,MolSentence with 64 words
1,1,MolSentence with 94 words
2,1,MolSentence with 84 words
3,1,MolSentence with 80 words
4,1,MolSentence with 88 words
5,1,MolSentence with 78 words
6,1,MolSentence with 90 words
7,1,MolSentence with 72 words
8,1,MolSentence with 82 words
9,1,MolSentence with 82 words
10,1,MolSentence with 86 words
11,1,MolSentence with 90 words
12,1,MolSentence with 86 words
13,1,MolSentence with 92 words
14,1,MolSentence with 76 words
15,1,MolSentence with 84 words
16,1,MolSentence with 88 words
17,1,MolSentence with 82 words
18,1,MolSentence with 88 words
19,1,MolSentence with 92 words
20,1,MolSentence with 70 words
21,1,MolSentence with 94 words
22,1,MolSentence with 84 words
23,1,MolSentence with 120 words
24,1,MolSentence with 80 words
25,1,MolSentence with 92 words
26,1,MolSentence with 64 words
27,1,MolSentence with 60 words
28,1,MolSentence with 96 words
29,1,MolSentence with 64 words
30,1,MolSentence with 94 words
31,1,MolSentence with 68 words
32,1,MolSentence with 88 words
33,1,MolSentence with 66 words
34,1,MolSentence with 78 words
35,1,MolSentence with 58 words
36,1,MolSentence with 74 words
37,1,MolSentence with 60 words
38,1,MolSentence with 82 words
39,1,MolSentence with 62 words
40,1,MolSentence with 86 words
41,1,MolSentence with 62 words
42,1,MolSentence with 82 words
43,1,MolSentence with 86 words
44,1,MolSentence with 80 words
45,1,MolSentence with 84 words
46,1,MolSentence with 72 words
47,1,MolSentence with 90 words
48,1,MolSentence with 62 words
49,1,MolSentence with 82 words
50,1,MolSentence with 64 words
51,1,MolSentence with 56 words
52,1,MolSentence with 82 words
53,1,MolSentence with 56 words
54,1,MolSentence with 52 words
55,1,MolSentence with 86 words
56,1,MolSentence with 78 words
57,1,MolSentence with 80 words
58,1,MolSentence with 76 words
59,1,MolSentence with 70 words
60,1,MolSentence with 54 words
61,1,MolSentence with 60 words
62,1,MolSentence with 78 words
63,1,MolSentence with 74 words
64,1,MolSentence with 124 words
65,1,MolSentence with 90 words
66,1,MolSentence with 82 words
67,1,MolSentence with 58 words
68,1,MolSentence with 62 words
69,1,MolSentence with 66 words
70,1,MolSentence with 64 words
71,1,MolSentence with 62 words
72,1,MolSentence with 68 words
73,1,MolSentence with 50 words
74,1,MolSentence with 144 words
75,1,MolSentence with 74 words
76,1,MolSentence with 58 words
77,1,MolSentence with 52 words
78,1,MolSentence with 74 words
79,1,MolSentence with 56 words
80,1,MolSentence with 80 words
81,1,MolSentence with 70 words
82,1,MolSentence with 146 words
83,1,MolSentence with 70 words
84,1,MolSentence with 52 words
85,1,MolSentence with 50 words
86,1,MolSentence with 92 words
87,1,MolSentence with 124 words
88,1,MolSentence with 58 words
89,1,MolSentence with 88 words
90,1,MolSentence with 56 words
91,1,MolSentence with 66 words
92,1,MolSentence with 82 words
93,1,MolSentence with 50 words
94,1,MolSentence with 54 words
95,1,MolSentence with 54 words
96,1,MolSentence with 88 words
97,1,MolSentence with 52 words
98,1,MolSentence with 76 words
99,1,MolSentence with 66 words
100,1,MolSentence with 66 words
101,0,MolSentence with 94 words
102,0,MolSentence with 88 words
103,0,MolSentence with 144 words
104,0,MolSentence with 78 words
105,0,MolSentence with 68 words
106,0,MolSentence with 76 words
107,0,MolSentence with 90 words
108,0,MolSentence with 54 words
109,0,MolSentence with 66 words
110,0,MolSentence with 72 words
111,0,MolSentence with 58 words
112,0,MolSentence with 140 words
113,0,MolSentence with 68 words
114,0,MolSentence with 78 words
115,0,MolSentence with 104 words
116,0,MolSentence with 68 words
117,0,MolSentence with 52 words
118,0,MolSentence with 78 words
119,0,MolSentence with 88 words
120,0,MolSentence with 58 words
121,0,MolSentence with 50 words
122,0,MolSentence with 52 words
123,0,MolSentence with 48 words
124,0,MolSentence with 92 words
125,0,MolSentence with 64 words
126,0,MolSentence with 54 words
127,0,MolSentence with 58 words
128,0,MolSentence with 62 words
129,0,MolSentence with 62 words
130,0,MolSentence with 66 words
131,0,MolSentence with 58 words
132,0,MolSentence with 62 words
133,0,MolSentence with 68 words
134,0,MolSentence with 84 words
135,0,MolSentence with 46 words
136,0,MolSentence with 54 words
137,0,MolSentence with 60 words
138,0,MolSentence with 70 words
139,0,MolSentence with 56 words
140,0,MolSentence with 60 words
141,0,MolSentence with 58 words
142,0,MolSentence with 58 words
143,0,MolSentence with 90 words
144,0,MolSentence with 62 words
145,0,MolSentence with 80 words
146,0,MolSentence with 48 words
147,0,MolSentence with 64 words
148,0,MolSentence with 80 words
149,0,MolSentence with 64 words
150,0,MolSentence with 72 words
151,0,MolSentence with 54 words
152,0,MolSentence with 56 words
153,0,MolSentence with 56 words
154,0,MolSentence with 72 words
155,0,MolSentence with 48 words
156,0,MolSentence with 60 words
157,0,MolSentence with 64 words
158,0,MolSentence with 84 words
159,0,MolSentence with 52 words
160,0,MolSentence with 54 words
161,0,MolSentence with 42 words
162,0,MolSentence with 64 words
163,0,MolSentence with 50 words
164,0,MolSentence with 52 words
165,0,MolSentence with 56 words
166,0,MolSentence with 48 words
167,0,MolSentence with 46 words
168,0,MolSentence with 52 words
169,0,MolSentence with 50 words
170,0,MolSentence with 38 words
171,0,MolSentence with 56 words
172,0,MolSentence with 50 words
173,0,MolSentence with 46 words
174,0,MolSentence with 50 words
175,0,MolSentence with 48 words
176,0,MolSentence with 48 words
177,0,MolSentence with 40 words
178,0,MolSentence with 44 words
179,0,MolSentence with 46 words
180,0,MolSentence with 32 words
181,0,MolSentence with 36 words
182,0,MolSentence with 56 words
183,0,MolSentence with 48 words
184,0,MolSentence with 36 words
185,0,MolSentence with 44 words
186,0,MolSentence with 50 words
187,0,MolSentence with 42 words
188,0,MolSentence with 46 words
189,0,MolSentence with 38 words
190,0,MolSentence with 34 words
191,0,MolSentence with 48 words
192,0,MolSentence with 30 words
193,0,MolSentence with 40 words
194,0,MolSentence with 28 words
195,0,MolSentence with 36 words
196,0,MolSentence with 34 words
197,0,MolSentence with 30 words
198,0,MolSentence with 32 words
199,0,MolSentence with 32 words
200,0,MolSentence with 22 words
201,0,MolSentence with 22 words
202,0,MolSentence with 38 words
203,0,MolSentence with 22 words
204,1,MolSentence with 194 words
205,1,MolSentence with 90 words
206,1,MolSentence with 132 words
207,1,MolSentence with 88 words
208,1,MolSentence with 96 words
209,1,MolSentence with 120 words
210,1,MolSentence with 126 words
211,1,MolSentence with 66 words
212,1,MolSentence with 98 words
213,1,MolSentence with 50 words
214,1,MolSentence with 94 words
215,1,MolSentence with 66 words
216,1,MolSentence with 66 words
217,1,MolSentence with 126 words
218,1,MolSentence with 52 words
219,1,MolSentence with 66 words
220,1,MolSentence with 62 words
221,1,MolSentence with 80 words
222,1,MolSentence with 66 words
223,1,MolSentence with 94 words
224,1,MolSentence with 104 words
225,1,MolSentence with 82 words
226,1,MolSentence with 64 words
227,1,MolSentence with 60 words
228,1,MolSentence with 46 words
229,1,MolSentence with 48 words
230,1,MolSentence with 64 words
231,1,MolSentence with 56 words
232,1,MolSentence with 48 words
233,1,MolSentence with 80 words
234,1,MolSentence with 52 words
235,1,MolSentence with 74 words
236,1,MolSentence with 40 words
237,1,MolSentence with 90 words
238,1,MolSentence with 46 words
239,1,MolSentence with 46 words
240,1,MolSentence with 46 words
241,1,MolSentence with 32 words
242,1,MolSentence with 72 words
243,1,MolSentence with 70 words
244,1,MolSentence with 32 words
245,1,MolSentence with 24 words
246,1,MolSentence with 22 words
247,1,MolSentence with 20 words
248,1,MolSentence with 60 words
249,1,MolSentence with 88 words
250,1,MolSentence with 72 words
251,1,MolSentence with 70 words
252,1,MolSentence with 92 words
253,1,MolSentence with 90 words
254,1,MolSentence with 90 words
255,1,MolSentence with 102 words
256,1,MolSentence with 102 words
257,1,MolSentence with 84 words
258,1,MolSentence with 78 words
259,1,MolSentence with 72 words
260,1,MolSentence with 88 words
261,1,MolSentence with 94 words
262,1,MolSentence with 80 words
263,1,MolSentence with 78 words
264,1,MolSentence with 80 words
265,1,MolSentence with 82 words
266,1,MolSentence with 80 words
267,1,MolSentence with 76 words
268,1,MolSentence with 74 words
269,1,MolSentence with 72 words
270,1,MolSentence with 62 words
271,1,MolSentence with 92 words
272,1,MolSentence with 74 words
273,1,MolSentence with 94 words
274,1,MolSentence with 100 words
275,1,MolSentence with 100 words
276,1,MolSentence with 110 words
277,1,MolSentence with 86 words
278,1,MolSentence with 78 words
279,1,MolSentence with 90 words
280,1,MolSentence with 78 words
281,1,MolSentence with 92 words
282,1,MolSentence with 106 words
283,1,MolSentence with 74 words
